OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_275	10	19	59	0	0	28	1	7	8	26	4	13	4	60	2	46	7	9
ASV_312	19	16	20	36	50	16	18	20	3	10	12	16	7	5	20	11	18	6
ASV_277	13	15	59	26	8	16	8	14	12	16	10	19	11	10	12	21	8	15
ASV_291	19	12	15	12	26	24	15	8	31	17	8	15	31	14	15	11	17	16
ASV_268	23	5	17	15	12	16	11	51	13	16	23	21	9	9	8	14	18	27
ASV_327	24	16	3	16	5	12	35	25	13	19	20	31	15	19	17	11	12	21
ASV_270	20	14	2	11	25	40	11	15	13	9	21	25	12	8	27	25	8	15
ASV_287	11	11	24	19	10	29	25	18	16	8	29	25	4	20	23	22	3	5
ASV_321	12	27	19	21	20	21	15	17	12	17	15	18	15	15	23	17	10	21
ASV_331	17	29	20	13	29	26	11	8	18	7	16	15	5	18	15	12	18	16
ASV_285	21	14	13	13	4	13	12	21	25	13	16	24	13	15	18	29	8	26
ASV_2368	12	22	14	11	4	10	19	24	14	19	24	16	15	15	23	13	13	18
ASV_515	17	17	11	16	1	16	28	19	14	15	26	32	11	17	13	14	13	16
ASV_305	10	10	6	16	11	12	39	8	9	26	16	16	9	27	18	26	23	19
ASV_308	28	18	3	19	61	13	21	24	5	9	9	15	19	20	5	10	2	5
ASV_297	19	9	6	7	5	35	52	17	11	11	24	27	12	12	15	6	16	13
ASV_2201	22	19	29	6	18	64	14	30	6	18	12	12	4	7	14	7	6	11
ASV_307	30	24	42	13	26	21	5	11	6	12	20	8	6	8	21	16	6	12
ASV_292	19	19	20	9	49	14	15	21	6	7	12	8	8	6	37	15	10	10
ASV_315	15	10	33	18	8	26	19	11	14	16	12	9	11	10	39	20	14	9
ASV_295	17	15	13	20	14	15	21	19	9	13	12	26	21	18	12	15	13	19
ASV_323	5	31	19	25	16	13	11	18	12	11	7	22	21	9	14	15	22	7
ASV_948	17	17	6	21	28	15	21	18	15	20	10	14	12	15	18	11	9	11
ASV_296	13	2	4	10	5	4	6	29	7	51	45	17	3	13	11	42	7	16
ASV_314	11	13	6	8	8	27	6	20	28	29	15	33	14	8	13	30	6	13
ASV_316	6	13	6	9	1	8	13	7	4	18	10	12	12	14	22	21	6	97
ASV_317	59	5	86	7	0	7	6	8	8	9	12	27	1	4	13	26	0	3
ASV_302	9	5	0	4	8	4	24	26	29	19	29	21	17	13	24	20	15	19
ASV_310	7	10	7	10	8	7	24	25	10	31	12	49	2	5	3	6	56	14
ASV_303	25	14	0	2	1	11	11	19	53	18	7	25	16	1	10	3	7	61
ASV_311	9	6	12	11	6	3	35	28	24	43	16	7	7	17	19	12	17	13
ASV_354	18	21	8	19	16	19	14	15	17	15	16	16	11	11	21	15	16	10
ASV_356	9	20	11	11	7	10	21	21	18	13	19	15	21	21	14	19	15	18
ASV_290	14	25	10	7	20	17	19	13	13	15	19	12	9	4	26	19	9	14
ASV_293	3	0	6	2	47	2	9	0	45	3	66	1	66	2	24	3	1	0
ASV_304	12	21	8	13	1	7	30	15	21	15	20	15	13	13	15	21	20	21
ASV_531	31	11	6	2	122	5	1	43	1	10	16	5	1	5	1	3	1	10
ASV_299	19	35	7	19	14	11	11	6	15	11	11	7	22	13	18	24	5	20
